SC(2)-0714 Supercritical airfoil (coordinates from Raymer w/ one correction)
0 48 49 0.0 1.0

0.0000  0.0000
0.0020  0.0095
0.0050  0.0158
0.0100  0.0219
0.0200  0.0293
0.0300  0.0343
0.0400  0.0381
0.0500  0.0411
0.0700  0.0462
0.1000  0.0518
0.1200  0.0548
0.1500  0.0585
0.1700  0.0606
0.2000  0.0632
0.2200  0.0646
0.2500  0.0664
0.2700  0.0673
0.3000  0.0685
0.3300  0.0692
0.3500  0.0696
0.3800  0.0698
0.4000  0.0697
0.4300  0.0695
0.4500  0.0692
0.4800  0.0684
0.5000  0.0678
0.5300  0.0666
0.5500  0.0656
0.5700  0.0645
0.6000  0.0625
0.6200  0.0610
0.6500  0.0585
0.6800  0.0555
0.7000  0.0533
0.7200  0.0509
0.7500  0.0469
0.7700  0.0439
0.8000  0.0389
0.8200  0.0353
0.8500  0.0294
0.8700  0.0251
0.9000  0.0181
0.9200  0.0131
0.9500  0.0049
0.9700 -0.0009
0.9800 -0.0039
0.9900 -0.0071
1.0000 -0.0104

0.0020 -0.0093
0.0050 -0.0160
0.0100 -0.0221
0.0200 -0.0295
0.0300 -0.0344
0.0400 -0.0381
0.0500 -0.0412
0.0700 -0.0462
0.1000 -0.0517
0.1200 -0.0547
0.1500 -0.0585
0.1700 -0.0606
0.2000 -0.0633
0.2200 -0.0647
0.2500 -0.0666
0.2800 -0.0680
0.3000 -0.0687
0.3200 -0.0692
0.3500 -0.0696
0.3700 -0.0696
0.4000 -0.0692
0.4200 -0.0688
0.4500 -0.0676
0.4800 -0.0657
0.5000 -0.0644
0.5300 -0.0614
0.5500 -0.0588
0.5800 -0.0543
0.6000 -0.0509
0.6300 -0.0451
0.6500 -0.0410
0.6800 -0.0346
0.7000 -0.0302
0.7300 -0.0235
0.7500 -0.0192
0.7700 -0.0150
0.8000 -0.0093
0.8300 -0.0048
0.8500 -0.0024
0.8700 -0.0013
0.8900 -0.0008
0.9200 -0.0016
0.9400 -0.0035
0.9500 -0.0049
0.9600 -0.0066
0.9700 -0.0085
0.9800 -0.0109
0.9900 -0.0137
1.0000 -0.0163
